Kanji,Meaning,Grade,JLPT,Strokes,IsJouyou,IsJinmeiyou,IsRadical,IDS,Components
一,"one, one radical (no.1)",1,4,1,True,False,False,一,
七,seven,1,4,2,True,False,False,七,
九,nine,1,4,2,True,False,False,九,
二,"two, two radical (no.2)",1,4,2,True,False,False,二,
人,person,1,4,2,True,False,False,人,
入,"enter, insert",1,4,2,True,False,False,入,
八,"eight, eight radical (no. 12)",1,4,2,True,False,False,八,
力,"power, strength, strong, strain, bear up, exert",1,3,2,True,False,False,力,
十,ten,1,4,2,True,False,False,十,
三,three,1,4,3,True,False,False,三,
上,"above, up",1,4,3,True,False,False,上,
下,"below, down, descend, give, low, inferior",1,4,3,True,False,False,下,
千,thousand,1,4,3,True,False,False,千,
口,mouth,1,4,3,True,False,False,口,
土,"soil, earth, ground, Turkey",1,4,3,True,False,False,土,
夕,evening,1,3,3,True,False,False,夕,
大,"large, big",1,4,3,True,False,False,大,
女,"woman, female",1,4,3,True,False,False,女,
子,"child, sign of the rat, 11PM-1AM, first sign of Chinese zodiac",1,4,3,True,False,False,子,
小,"little, small",1,4,3,True,False,False,小,
山,mountain,1,4,3,True,False,False,山,
川,"stream, river, river or three-stroke river radical (no. 47)",1,4,3,True,False,False,川,
中,"in, inside, middle, mean, center",1,4,4,True,False,False,中,
五,five,1,4,4,True,False,False,五,
六,six,1,4,4,True,False,False,⿱亠?,亠
円,"circle, yen, round",1,4,4,True,False,False,円,
天,"heavens, sky, imperial",1,4,4,True,False,False,⿱一大,一 大
手,hand,1,4,4,True,False,False,手,
文,"sentence, literature, style, art, decoration, figures, plan, literary radical (no. 67)",1,3,4,True,False,False,文,
日,"day, sun, Japan, counter for days",1,4,4,True,False,False,日,
月,"month, moon",1,4,4,True,False,False,月,
木,"tree, wood",1,4,4,True,False,False,木,
水,water,1,4,4,True,False,False,水,
火,fire,1,4,4,True,False,False,火,
犬,dog,1,3,4,True,False,False,犬,
王,"king, rule, magnate",1,2,4,True,False,False,王,
出,"exit, leave, go out, come out, put out, protrude",1,4,5,True,False,False,⿱屮凵,屮 凵
右,right,1,4,5,True,False,False,⿸𠂇口,𠂇 口
四,four,1,4,5,True,False,False,四,
左,left,1,4,5,True,False,False,⿸𠂇工,𠂇 工
本,"book, present, main, origin, true, real, counter for long cylindrical things",1,4,5,True,False,False,本,
正,"correct, justice, righteous, 10**40",1,3,5,True,False,False,⿱一止,一 止
玉,"jewel, ball",1,2,5,True,False,False,玉,
生,"life, genuine, birth",1,4,5,True,False,False,生,
田,"rice field, rice paddy",1,3,5,True,False,False,田,
白,white,1,4,5,True,False,False,白,
目,"eye, class, look, insight, experience, care, favor",1,4,5,True,False,False,目,
石,stone,1,2,5,True,False,False,石,
立,"stand up, rise, set up, erect",1,4,5,True,False,False,立,
休,"rest, day off, retire, sleep",1,4,6,True,False,False,⿰亻木,亻 木
先,"before, ahead, previous, future, precedence",1,4,6,True,False,False,⿱⺧儿,⺧ 儿
名,"name, noted, distinguished, reputation",1,4,6,True,False,False,⿱夕口,夕 口
字,"character, letter, word, section of village",1,3,6,True,False,False,⿱宀子,宀 子
年,"year, counter for years",1,4,6,True,False,False,年,
早,"early, fast",1,3,6,True,False,False,⿱日十,日 十
気,"spirit, mind, air, atmosphere, mood",1,4,6,True,False,False,⿹气㐅,丿 一 𠂉 一 ⺄ 气 㐅
百,hundred,1,4,6,True,False,False,⿱一白,一 白
竹,bamboo,1,2,6,True,False,False,竹,
糸,thread,1,2,6,True,False,False,糸,
耳,ear,1,4,6,True,False,False,耳,
虫,"insect, bug, temper",1,2,6,True,False,False,虫,
村,"village, town",1,3,7,True,False,False,⿰木寸,木 寸
男,male,1,4,7,True,False,False,⿱田力,田 力
町,"town, village, block, street",1,3,7,True,False,False,⿰田丁,田 丁
花,flower,1,4,7,True,False,False,⿱艹化,艹 亻 乚 丿 𠤎 化
見,"see, hopes, chances, idea, opinion, look at, visible",1,4,7,True,False,False,見,
貝,shellfish,1,2,7,True,False,False,貝,
赤,red,1,3,7,True,False,False,赤,
足,"leg, foot, be sufficient, counter for pairs of footwear",1,4,7,True,False,False,⿱口龰,口 龰
車,car,1,4,7,True,False,False,車,
学,"study, learning, science",1,4,8,True,False,False,⿱𰃮子,𰃮 子
林,"grove, forest",1,3,8,True,False,False,⿰木木,木 木
空,"empty, sky, void, vacant, vacuum",1,4,8,True,False,False,⿱穴工,宀 八 穴 工
金,gold,1,4,8,True,False,False,金,
雨,rain,1,4,8,True,False,False,雨,
青,"blue, green",1,3,8,True,False,False,青,
草,"grass, weeds, herbs, pasture, write, draft",1,2,9,True,False,False,⿱艹早,艹 日 十 早
音,"sound, noise",1,3,9,True,False,False,音,
校,"exam, school, printing, proof, correction",1,4,10,True,False,False,⿰木交,木 亠 父 交
森,"forest, woods",1,3,12,True,False,False,⿱木林,木 木 木 林
刀,"sword, saber, knife",2,1,2,True,False,False,刀,
万,"ten thousand, 10,000",2,4,3,True,False,False,万,
丸,"round, full (month), perfection, -ship, pills, make round, roll up, curl up, seduce, explain away",2,2,3,True,False,False,丸,
工,"craft, construction, katakana e radical (no. 48)",2,3,3,True,False,False,工,
弓,"bow, bow (archery, violin)",2,1,3,True,False,False,弓,
才,"genius, years old, cubic shaku",2,2,3,True,False,False,才,
今,now,2,4,4,True,False,False,⿱亼㇇,𠆢 一 亼 ㇇
元,"beginning, former time, origin",2,3,4,True,False,False,⿱一兀,一 兀
公,"public, prince, official, governmental",2,2,4,True,False,False,⿱八厶,八 厶
内,"inside, within, between, among, house, home",2,2,4,True,False,False,内,
分,"part, minute of time, segment, share, degree, one's lot, duty, understand, know, rate, 1%, chances, shaku/100",2,4,4,True,False,False,⿱八刀,八 刀
切,"cut, cutoff, be sharp",2,3,4,True,False,False,⿰七刀,七 刀
午,"noon, sign of the horse, 11AM-1PM, seventh sign of Chinese zodiac",2,4,4,True,False,False,⿱𠂉十,丿 一 𠂉 十
友,friend,2,4,4,True,False,False,⿸𠂇又,𠂇 又
太,"plump, thick, big around",2,3,4,True,False,False,⿵大丶,大 丶
少,"few, little",2,4,4,True,False,False,⿱小丿,小 丿
引,"pull, tug, jerk, admit, install, quote, refer to",2,3,4,True,False,False,⿰弓丨,弓 丨
心,"heart, mind, spirit, heart radical (no. 61)",2,3,4,True,False,False,心,
戸,"door, counter for houses, door radical (no. 63)",2,2,4,True,False,False,戸,
方,"direction, person, alternative",2,3,4,True,False,False,方,
止,"stop, halt",2,3,4,True,False,False,止,
毛,"fur, hair, feather, down",2,2,4,True,False,False,毛,
父,father,2,4,4,True,False,False,父,
牛,cow,2,3,4,True,False,False,牛,
兄,"elder brother, big brother",2,3,5,True,False,False,⿱口儿,口 儿
冬,winter,2,3,5,True,False,False,⿱夂?,夂
北,north,2,4,5,True,False,False,⿰?匕,匕
半,"half, middle, odd number, semi-, part-",2,4,5,True,False,False,半,
古,old,2,4,5,True,False,False,⿱十口,十 口
台,"pedestal, a stand, counter for machines and vehicles",2,3,5,True,False,False,⿱厶口,厶 口
外,outside,2,4,5,True,False,False,⿰夕卜,夕 卜
市,"market, city, town",2,3,5,True,False,False,⿱亠巾,亠 巾
広,"wide, broad, spacious",2,3,5,True,False,False,⿸广厶,广 厶
母,mother,2,4,5,True,False,False,母,
用,"utilize, business, service, use, employ",2,3,5,True,False,False,用,
矢,"dart, arrow",2,1,5,True,False,False,矢,
交,"mingle, mixing, association, coming & going",2,2,6,True,False,False,⿱亠父,亠 父
会,"meeting, meet, party, association, interview, join",2,4,6,True,False,False,⿱𠆢云,𠆢 二 厶 云
光,"ray, light",2,3,6,True,False,False,⿱⿱⺌一儿,⺌ 一 儿
合,"fit, suit, join, 0.1",2,3,6,True,False,False,⿱?口,口
同,"same, agree, equal",2,3,6,True,False,False,⿵𠔼口,冂 一 𠔼 口
回,"-times, round, game, revolve, counter for occurrences",2,3,6,True,False,False,⿴囗口,囗 口
地,"ground, earth",2,3,6,True,False,False,⿰土也,土 也
多,"many, frequent, much",2,4,6,True,False,False,⿱夕夕,夕 夕
寺,Buddhist temple,2,2,6,True,False,False,⿱土寸,土 寸
当,"hit, right, appropriate, himself",2,2,6,True,False,False,⿱⺌彐,⺌ 彐
毎,every,2,4,6,True,False,False,⿱𠂉?,丿 一 𠂉
池,"pond, cistern, pool, reservoir",2,3,6,True,False,False,⿰氵也,氵 也
米,"rice, USA, metre",2,2,6,True,False,False,米,
羽,"feathers, counter for birds, rabbits",2,2,6,True,False,False,羽,
考,"consider, think over",2,3,6,True,False,False,⿱耂丂,耂 丂
肉,meat,2,3,6,True,False,False,肉,
自,oneself,2,3,6,True,False,False,自,
色,color,2,3,6,True,False,False,色,
行,"going, journey, carry out, conduct, act, line, row, bank",2,4,6,True,False,False,⿰彳亍,彳 一 丁 亍
西,"west, Spain",2,4,6,True,False,False,西,
体,"body, substance, object, reality, counter for images",2,3,7,True,False,False,⿰亻本,亻 本
何,what,2,4,7,True,False,False,⿰亻可,亻 口 可
作,"make, production, prepare, build",2,3,7,True,False,False,⿰亻乍,亻 乍
図,"map, drawing, plan, extraordinary, audacious",2,3,7,True,False,False,⿴囗⿱乂?,囗 乂
声,voice,2,3,7,True,False,False,⿱士𠃜,士 𠃜
売,sell,2,3,7,True,False,False,⿱士冗,士 冖 儿 冗
弟,"younger brother, faithful service to elders",2,3,7,True,False,False,⿹丿弚,丿 丶 丿 丷 弔 弚
形,"shape, form, style",2,2,7,True,False,False,⿰开彡,一 廾 开 彡
来,"come, due, next, cause, become",2,4,7,True,False,False,来,
汽,"vapor, steam",2,1,7,True,False,False,⿰氵气,氵 丿 一 𠂉 一 ⺄ 气
社,"company, firm, office, association, shrine",2,4,7,True,False,False,⿰示土,示 土
角,"angle, corner, square, horn, antlers",2,2,7,True,False,False,角,
言,"say, word",2,4,7,True,False,False,言,
谷,valley,2,2,7,True,False,False,谷,
走,run,2,3,7,True,False,False,⿱土龰,土 龰
近,"near, early, akin, tantamount",2,3,7,True,False,False,⿺辶斤,辶 斤
里,"ri, village, parent's home, league",2,1,7,True,False,False,⿱田土,田 土
麦,"barley, wheat",2,2,7,True,False,False,⿱龶夂,龶 夂
京,"capital, 10**16",2,3,8,True,False,False,⿱⿱亠口小,亠 口 小
国,country,2,4,8,True,False,False,⿴囗玉,囗 玉
夜,"night, evening",2,3,8,True,False,False,⿱亠⿰亻?,亠 亻
妹,younger sister,2,3,8,True,False,False,⿰女未,女 未
姉,elder sister,2,3,8,True,False,False,⿰女市,女 亠 巾 市
岩,"boulder, rock, cliff",2,2,8,True,False,False,⿱山石,山 石
店,"store, shop",2,4,8,True,False,False,⿸广占,广 ⺊ 囗 占
明,"bright, light",2,3,8,True,False,False,⿰日月,日 月
東,east,2,4,8,True,False,False,東,
歩,"walk, counter for steps",2,3,8,True,False,False,⿱止少,止 小 丿 少
画,"brush-stroke, picture",2,3,8,True,False,False,⿴⿱一凵田,一 凵 田
直,"straightaway, honesty, frankness, fix, repair",2,2,8,True,False,False,⿱十?,十
知,"know, wisdom",2,3,8,True,False,False,⿰矢口,矢 口
長,"long, leader, superior, senior",2,4,8,True,False,False,長,
門,"gate, counter for cannons",2,3,8,True,False,False,門,
前,"in front, before",2,4,9,True,False,False,⿸⿱䒑?刂,䒑 刂
南,south,2,4,9,True,False,False,⿱十?,十
室,"room, apartment, chamber, greenhouse, cellar",2,3,9,True,False,False,⿱宀至,宀 一 厶 𠫔 土 至
後,"behind, back, later",2,4,9,True,False,False,⿰彳?,彳
思,think,2,3,9,True,False,False,⿱田心,田 心
星,"star, spot, dot, mark",2,2,9,True,False,False,⿱日生,日 生
春,"springtime, spring (season)",2,3,9,True,False,False,⿱𡗗日,三 人 𡗗 日
昼,"daytime, noon",2,3,9,True,False,False,⿵尺旦,尺 日 一 旦
活,"lively, resuscitation, being helped, living",2,2,9,True,False,False,⿰氵舌,氵 舌
海,"sea, ocean",2,3,9,True,False,False,⿰氵每,氵 丿 一 𠂉 母 每
点,"spot, point, mark, speck, decimal point",2,2,9,True,False,False,⿱占灬,⺊ 囗 占 灬
秋,autumn,2,3,9,True,False,False,⿰禾火,禾 火
科,"department, course, section",2,2,9,True,False,False,⿰禾斗,禾 斗
茶,tea,2,3,9,True,False,False,⿳艹𠆢朩,艹 𠆢 朩
計,"plot, plan, scheme, measure",2,3,9,True,False,False,⿰言十,言 十
風,"wind, air, style, manner",2,3,9,True,False,False,風,
食,"eat, food",2,4,9,True,False,False,⿱亽艮,𠆢 丶 亽 艮
首,"neck, counter for songs and poems",2,3,9,True,False,False,首,
原,"meadow, original, primitive, field, plain, prairie, tundra, wilderness",2,2,10,True,False,False,⿸厂?,厂
夏,summer,2,3,10,True,False,False,⿱𦣻夂,𦣻 夂
家,"house, home, family, professional, expert, performer",2,3,10,True,False,False,⿱宀豕,宀 豕
帰,"homecoming, arrive at, lead to, result in",2,3,10,True,False,False,⿰?帚,彐 冖 巾 帚
