Sentence,Translation,SentenceID,TranslationID
"""Tatoeba""とはどういう意味ですか？","What does ""Tatoeba"" mean?",763176,763223
"""ブログオーナーが承認した""はすでに例文です。","""It was approved by the blog owner"" is already an example sentence.",8255786,10066773
-18℃以下で保存してください。,Please store it at -18C or lower.,2677338,2678442
100ドルまで使っていいですよ。,You may spend a maximum of 100 dollars.,9029376,243950
10ヶ国語を話せたらどんなにかっこいいだろう！,It would be so cool if I could speak ten languages!,5126,1724
10分だけ付き合おう。,I can spare you just 10 minutes.,74009,329711
10分ちょいで着くから待ってて。,I'll be there in about 10 minutes so please wait.,2976668,7910998
10時まで仕事するつもりなの？,Do you plan to work until 10:00?,1312959,997236
10月1日は都民の日です。,October 1st is Citizen's Day.,2718481,6465957
10月20日から仕事を始めます。,I'll start working on October 20th.,10185211,7582306
10月20日から仕事を始めます。,I'll start working on October twentieth.,10185211,10185210
10月20日にトムとよりを戻しました。,On October 20th I returned to Tom.,3054851,9039960
10月20日の昼の２時半はどうかしら？,How about October 20th at 2:30 p.m.?,9041908,9033035
10月20日はトムの誕生日です。,October 20th is Tom's birthday.,10321242,10321065
10月20日はトムの誕生日です。,October twentieth is Tom's birthday.,10321242,10321066
10月からトムを見かけてないよ。,I haven't seen Tom since October.,8918932,6124959
10月にまた会おう。,Let's meet again in October.,7432598,7432164
10月にトムと会った。,I met Tom in October.,7462019,7410487
10月に君らにまた会うのを待ちきれない。,I can't wait to see you guys again in October.,8002418,8002386
10月の最初の週に、ボストンに行くよ。,I'll come to Boston the first weekend in October.,8684599,7993973
10月はボストンにいた。,"In October, I was in Boston.",7430464,7429710
10言語も喋れるとか嘘やろ？,Do you really speak ten languages?,9554219,9554228
11時に目が覚めた。,I woke up at eleven.,8785881,5509258
11時に目が覚めた。,I woke up at eleven o'clock.,8785881,5509264
11月14日は世界糖尿病デーです。,World Diabetes Day is on the 14th November.,2718482,5545250
12時45分とかどう？,How about 12:45?,2233549,73334
12時から1時まで、1時間の昼休みがある。,We have an hour's recess for lunch from twelve to one.,1656895,277591
12時間寝たのにまだ眠い。,"Even though I slept for twelve hours, I'm still sleepy.",7919785,7926242
12月3日は国際障害者デーです。,December 3 is the International Day of Persons with Disabilities.,2718483,2757374
12歳です。,I'm twelve years old.,3488407,2069119
12歳です。,I'm twelve.,3488407,2069142
12歳です。,I am twelve years old.,3488407,4353654
13歳までボストンに住んでいました。,I lived in Boston until I was thirteen years old.,10550247,10549915
150歳まで生きることは不可能ですか？,Is it impossible to live to be 150?,9641012,9641011
15のとき、君はどんな子だった？,What were you like when you were fifteen?,3367138,954584
16歳以下の子供を車に乗せて喫煙することは法律違反です。,Smoking in a car with a child under 16 is against the law.,3388459,3386905
1941年に戦争が始まった。,War broke out in 1941.,4265936,73289
19世紀生まれの人は今何人生きているのでしょうか。,I wonder how many people born in the 19th century are still alive.,2109852,10091795
19世紀生まれの人は今何人生きているのでしょうか。,I wonder how many people born in the 19th century are still living.,2109852,10091811
19時までに投函すれば、明日には届きますよ。,"If you mail it by seven PM, it will arrive tomorrow.",2696372,2698765
19時までに投函すれば、明日には届きますよ。,"If you mail it by 7:00 p.m., it'll arrive tomorrow.",2696372,2699025
1つ分からないことがあります。,There is one thing I don't understand.,2580967,2400073
1つ分からないことがあります。,There's one thing I don't understand.,2580967,2712774
1ダースのドーナッツを買いたいです。,I want to buy a dozen donuts.,10303900,2028043
1ヵ月振りの受診ですね。その後の経過はどうでしょうか？,It's been a month since you went to the doctor. How has it been since then?,9497536,9499953
1人でいるの？,Are you alone?,8687267,399354
1分は60秒です。,A minute has sixty seconds.,190068,27224
1分は60秒です。,There are sixty seconds in a minute.,190068,484682
1分は60秒です。,One minute has sixty seconds.,190068,1416883
1日か2日かかります。,It will take one or two days.,5570675,9159335
1日か2日かかります。,It'll take one or two days.,5570675,9188491
1日か2日かかります。,It takes a day or two.,5570675,10589878
1日か2日かかります。,It'll take a day or two.,5570675,10589881
1日や2日で東京を見て回るなんて出来ない。,It's impossible to do the sights of Tokyo in a day or two.,1234464,73074
1日遅れちゃったけど、お誕生日おめでとう。,"I'm a day late, but ""Happy Birthday!"".",3169532,3182877
1時間で終わらせます。,I'll finish it in one hour.,2279265,73165
1時間は60分です。,An hour has sixty minutes.,8576470,812213
1月から3月生まれの方はこちらに集まってください。,"People born in January, February, and March, please gather over here.",3861208,4635459
1月に試験を受ける予定です。,I'm taking an exam in January.,190665,27825
1番目が一番良いというわけじゃなかった。,The first was not the best.,5067367,2119614
1番目が一番良いというわけじゃなかった。,The first wasn't the best.,5067367,9953439
1番目が一番良いというわけじゃなかった。,The first one wasn't the best one.,5067367,9953448
1番目が一番良いというわけじゃなかった。,The first one wasn't the best.,5067367,9953449
1週間以内にお届けします。,We are able to deliver within a week.,190565,27724
1週間以内にお届けします。,We can deliver within a week.,190565,509382
2003年、私は13歳だった。,I was 13 in 2003.,3366908,2549380
2013年10月20日にここで何があったか覚えてますか？,"Do you remember what happened here on October 20, 2013?",7708241,7708224
20世紀生まれ？それとも21世紀？,Were you born in the 20th century or in the 21st?,8545571,4921969
25ページの地図をご覧ください。,Look at the map on page 25.,3854743,280864
25ページの地図をご覧ください。,Please look over the map on page 25.,3854743,3962586
2つ目の信号を左に曲がってください。,Turn left at the second traffic light.,2827471,2827762
2分でいいので話聞いてもらえませんか？,"If you have a couple minutes, could you hear me out?",3262069,4717486
2回も約束破られて、まだあいつのこと信用してんの？,Do you still trust him after he broke his promise twice?,2419480,72798
2日前から具合は悪い。,I've been feeling sick for the last two days.,4562608,4580199
2時30分に帰ってきます。,I'll be back at 2:30.,3385022,3350172
2時になったら寝るね。,"Once it hits two o'clock, I'll go to bed.",3045973,4923232
2時半くらいに電話していい？,May I call around 2:30?,4751755,4753260
2時半くらいに電話していい？,May I call at around 2:30?,4751755,4753275
2時半に正門の前に迎えに来てください。,Pick me up 2:30 in front of the main gate.,8571285,3733526
2時半に閉まる。,We close at 2:30.,7486229,3312559
2月12日はダーウィンの日です。,February 12 is Darwin Day.,2718485,2757369
2月は28日しかない。,February has only 28 days.,2483423,1772007
2月は28日しかない。,The month of February has only twenty-eight days.,2483423,7056494
2月は28日しかない。,In February there are only 28 days.,2483423,7056495
2番のお料理には肉が入っています。,The second course contains meat.,1518089,1556551
300ドルほど貸していただけませんか。,I'd like to borrow about three hundred dollars.,2348794,2348793
30ドル借りてもいい？,Can I borrow $30?,3367977,2549399
30歳で結婚し、同時に不妊治療を始めました。,"I got married at 30 and, at the same time, I started getting infertility treatment.",3338317,3353716
3の3乗は27です。,3 cubed is 27.,875889,403999
3の3乗は27です。,Three cubed makes twenty-seven.,875889,931537
3人の労働者が亡くなりました。,Three workers died.,9510663,4497303
3人の生徒が簡単に挨拶をして、自分自身や自分の国のことを紹介した。,Three students made short speeches and introduced themselves and their countries.,2269162,72669
3分間だけ待ってやる。,I'll only wait 3 minutes for you.,9590866,10209025
3台の車を持っているんだよね？,"You have three cars, don't you?",7809262,7809206
3年前にトムに教えたんだ。,I taught Tom three years ago.,9593881,5620604
3年前の冬、僕はトムと出会った。,I met Tom in the winter three years ago.,10110158,10109615
3年間交際していた彼氏と先日別れました。,I recently broke up with my boyfriend of three years.,4489077,4515057
3時間以内に飛行機に乗らなきゃ。,I have to catch a plane in three hours.,10125839,3619734
3月21日は国際人種差別撤廃デーです。,The 21st March is the International Day for the Elimination of Racial Discrimination.,2718474,10238278
3歳になったばかりの息子がいます。,I have a son who's just turned three.,3050897,3050979
3歳になったばかりの息子がいます。,We have a son who's just turned three.,3050897,3050982
3行目の最後の単語はなんて読むんですか？,How do you read the last word on the third line?,4147520,4635408
