Word,Reading,Sequence,Index,Glosses,GlossLanguages,GlossGenders,GlossTypes,PartOfSpeech,CrossRef,Antonymns,Field,Dialect,IsUsuallyKana,Sources,SourceLanguages,SourceTypes,SourceWaseigo,Info,Info2
〇,れい,1557630,0,zero; nought,|,|,|,&n;,,,,,False,,,,,,
〇,ゼロ,2839962,0,zero; 0; nought; nil,|||,|||,|||,&n;,零・れい,,,,False,,,,,〇 used with kanji numerals,
〇,ゼロ,2839962,1,nothing; zilch,|,|,|,&n;,,,,,True,,,,,,&uk;
ああ言う,ああいう,2085090,0,that sort of; like that,|,|,|,&exp;|&adj-pn;,,,,,True,,,,,,&uk;
あいつ等,あいつら,1985390,0,they; those guys; those fellows,||,||,||,&pn;,,,,,True,,,,,,&derog;|&fam;|&uk;
あくる日,あくるひ,1532260,0,next day; following day,|,|,|,&n;|&adv;,,,,,False,,,,,,
あだ名,あだな,1586450,0,nickname,,,,&n;|&vs;|&vt;,,,,,False,,,,,,
あっという間,あっというま,2208410,0,"a blink of time; the time it takes to say ""Ah!""",|,|,|lit,&exp;|&n;,あっと言う間に,,,,False,,,,,,
あっという間に,あっというまに,1000390,0,"just like that; in the twinkling of an eye; in the blink of an eye; in the time it takes to say ""ah!""",|||,|||,|||lit,&exp;|&adv;,,,,,False,,,,,,
あなた方,あなたがた,1586560,0,you (plural),,,,&pn;,,,,,False,,,,,,&hon;
あの世,あのよ,1612740,0,the other world; the next world; the world beyond; world after death,|||,|||,|||,&n;,この世,,,,False,,,,,,
あの人,あのひと,1000440,0,he; she; that person,||,||,||,&pn;,,,,,False,,,,,sometimes of one's spouse or partner,
あの人,あのひと,1000440,1,you,,,,&pn;,,,,,False,,,,,,&arch;
あの方,あのかた,1000450,0,that gentleman; that lady; he; she,|||,|||,|||,&pn;,,,,,False,,,,,,&hon;
あり合わせ,ありあわせ,1610560,0,on hand; readily available,|,|,|,&adj-no;|&n;,,,,,True,,,,,,&uk;
あり得ない,ありえない,2109610,0,impossible,,,,&adj-i;,ありえる,,,,True,,,,,,&uk;
あり得ない,ありえない,2109610,1,unthinkable; ridiculous; absurd,||,||,||,&adj-i;,,,,,True,,,,,,&uk;
ある意味で,あるいみで,2101010,0,in a sense; in some way; to an extent,||,||,||,&exp;,,,,,False,,,,,,
ある意味では,あるいみでは,2101020,0,in a sense; in some way; to an extent,||,||,||,&exp;,,,,,False,,,,,,
あれ程,あれほど,1771440,0,to that extent,,,,&adv;|&adj-no;,,,,,True,,,,,,&uk;
あん摩,あんま,1154320,0,"massage (esp. anma, a traditional form of Japanese massage)",,,,&n;|&vs;|&vt;,,,,,False,,,,,,
あん摩,あんま,1154320,1,masseur; masseuse; massager,||,||,||,&n;,,,,,False,,,,,,&sens;
あん摩,あんま,1154320,2,blind person,,,,&n;,,,,,False,,,,,from blind people historically oft. being masseurs,&arch;|&col;
いい加減,いいかげん,1277440,0,irresponsible; perfunctory; careless,||,||,||,&adj-na;,,,,,False,,,,,,
いい加減,いいかげん,1277440,1,lukewarm; half-baked; halfhearted; vague,|||,|||,|||,&adj-na;,,,,,False,,,,,,
いい加減,いいかげん,1277440,2,reasonable; moderate,|,|,|,&adj-na;,いい加減にする,,,,False,,,,,usu. in suggestions or orders,
いい加減,いいかげん,1277440,3,considerably; quite; rather; pretty,|||,|||,|||,&adv;,,,,,False,,,,,,
いい加減にしろ,いいかげんにしろ,2393900,0,that's enough!; cut it out!; get a life!,||,||,||,&exp;,いい加減にしなさい,,,,False,,,,,,
いち早く,いちはやく,1167720,0,promptly; quickly; without delay,||,||,||,&adv;,,,,,False,,,,,,
いち早く,いちはやく,1167720,1,before others; first,|,|,|,&adv;,,,,,False,,,,,,
いっその事,いっそのこと,2613080,0,rather; sooner; preferably,||,||,||,&adv;,いっそ,,,,True,,,,,,&uk;
いつの間にか,いつのまにか,1188850,0,before one knows; before one becomes aware of; unnoticed; unawares,|||,|||,|||,&adv;,,,,,False,,,,,,
いつも通り,いつもどおり,2069030,0,as always; as usual,|,|,|,&adv;|&adj-no;,,,,,False,,,,,,
いつ頃,いつごろ,1188960,0,about when; about what time; how soon,||,||,||,&n;|&adv;,,,,,False,,,,,,
うつ病,うつびょう,1568440,0,depression,,,,&n;,,,&med;,,False,,,,,,
うまく行く,うまくいく,1310500,0,to go smoothly; to turn out well; to do the trick; to have peaceful relations,|||,|||,|||,&exp;|&v5k-s;,,,,,True,,,,,,&uk;
おせち料理,おせちりょうり,1270460,0,osechi; osechi-ryōri; traditional food eaten during the New Year's holidays,||,||,||expl,&n;,,,&food;,,False,,,,,,
おめでとう御座います,おめでとうございます,1001540,0,congratulations,,,,&exp;,,,,,True,,,,,,&pol;|&uk;
お一人様,おひとりさま,2106010,0,one person; one customer,|,|,|,&n;,,,,,False,,,,,,&hon;
お一人様,おひとりさま,2106010,1,unmarried and childless older woman,,,,&n;,負け犬・2,,,,False,,,,,,&col;
お世話になる,おせわになる,1002260,0,to receive favor; to receive assistance; to receive help; to be looked after; to be taken care of; to become dependent (on); to become much obliged (to someone); to become indebted,|||||||,|||||||,|||||||,&exp;|&v5r;,世話になる,,,,False,,,,,oft. used to express gratitude,&pol;
お世辞,おせじ,1002250,0,flattery; compliment,|,|,|,&n;,世辞,,,,False,,,,,,
お中元,おちゅうげん,1270540,0,mid-year gift; summer gift,|,|,|,&n;,中元・2,,,,False,,,,,,
お久しぶり,おひさしぶり,2222180,0,it's been a long time; long time no see,|,|,|,&exp;,お久・おひさ,,,,False,,,,,,&pol;
お互いに,おたがいに,2231160,0,mutually; with each other; reciprocally; together; both,||||,||||,||||,&adv;,互いに,,,,False,,,,,,&pol;
お仕着せ,おしきせ,1693880,0,uniforms provided for workers (by the employer),,,,&n;|&adj-no;,,,,,False,,,,,,
お仕着せ,おしきせ,1693880,1,something forced upon one; something imposed on one,|,|,|,&n;|&adj-no;,,,,,False,,,,,,
お仕舞い,おしまい,1001970,0,the end; closing; being done for,||,||,||,&n;,仕舞い・1,,,,True,,,,,,&uk;|&pol;
お仕舞い,おしまい,1001970,1,that's it; that's enough; that's all,||,||,||,∫,,,,,True,,,,,,&uk;
お代わり,おかわり,1612800,0,another helping; second helping; seconds; refill,|||,|||,|||,&n;|&vs;|&vt;,代わり・かわり・4,,,,False,,,,,,
お代わり,おかわり,1612800,1,command to have dog place its second paw in one's hand,,,,∫,お手・おて・3,,,,True,,,,,,&uk;
お休み,おやすみ,1612680,0,holiday; day off; absence,||,||,||,&n;,,,,,False,,,,,,&pol;
お休み,おやすみ,1612680,1,sleep; rest,|,|,|,&n;,,,,,False,,,,,,&hon;
お休み,おやすみ,1612680,2,Good night,,,,&exp;,お休みなさい,,,,True,,,,,,&abbr;|&uk;
お休みなさい,おやすみなさい,1001780,0,good night,,,,&exp;,,,,,True,,,,,,&uk;
お使い,おつかい,1001980,0,errand; mission; going as envoy,||,||,||,&n;,使い・つかい・1,,,,False,,,,,,&pol;
お使い,おつかい,1001980,1,messenger; bearer; errand boy; errand girl,|||,|||,|||,&n;,,,,,False,,,,,,&pol;
お使い,おつかい,1001980,2,familiar spirit,,,,&n;,,,,,False,,,,,,&pol;|&hon;
お兄さん,おにいさん,1001830,0,older brother; elder brother,|,|,|,&n;,兄さん・1,,,,False,,,,,,&hon;
お兄さん,おにいさん,1001830,1,young man; buddy; fella; laddie,|||,|||,|||,&n;,兄さん・3,,,,False,,,,,vocative,
お先に,おさきに,1002280,0,before; previously,|,|,|,&adv;,,,,,False,,,,,,&pol;
お先に,おさきに,1002280,1,ahead,,,,&adv;,,,,,False,,,,,,&pol;
お先に,おさきに,1002280,2,pardon me for leaving (before you),,,,&exp;,お先に失礼します,,,,False,,,,,,&abbr;|&pol;
お八つ,おやつ,1589430,0,between-meal snack,,,,&n;,,,,,True,,,,,,&uk;
お八つ,おやつ,1589430,1,mid-afternoon (around 3 o'clock) snack; afternoon refreshment; afternoon tea,||,||,||,&n;,八つ時,,,,True,,,,,,&uk;
お凸,おでこ,1002530,0,brow; forehead,|,|,|,&n;,凸・でこ・1,,,,True,,,,,,&uk;
お凸,おでこ,1002530,1,prominent forehead; beetle brow,|,|,|,&n;,,,,,True,,,,,,&uk;
